;Date;No_cases;Workplace;Events;Daycare;Higher Education;Secondary Education;Primary Education;Restaurants/Cafes;Transport;Entertainment;Sports;Indoor;Masks;MassGather50;MassGatherAll;Shops;Outdoor;Religion;Gatherings;Stayhome;Telework;Prikken;Rolling_R;perc_randstad;perc_under_30;perc_M
39;2020-04-04;0.06982662637187848;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9451430545013444;0.44533029612756264;0.12984054669703873;0.265375854214123
40;2020-04-05;0.07507555272785112;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.9207210258113018;0.4745762711864407;0.1271186440677966;0.2838983050847458
41;2020-04-06;0.05916971528550978;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.899097652407493;0.4825268817204301;0.12634408602150538;0.2567204301075269
42;2020-04-07;0.058453952600604424;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8805770315402995;0.42857142857142855;0.11700680272108843;0.308843537414966
43;2020-04-08;0.06600922538571656;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8673581017444872;0.44216867469879517;0.15421686746987953;0.2457831325301205
44;2020-04-09;0.0652934627008112;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8579760341467245;0.4543239951278928;0.13520097442143728;0.2789281364190012
45;2020-04-10;0.06076029902974392;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8505953878508142;0.47643979057591623;0.13612565445026178;0.2761780104712042
46;2020-04-11;0.05161444250039764;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8434932124766903;0.4869029275808937;0.12788906009244994;0.2588597842835131
47;2020-04-12;0.04978527119452839;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8338761423027933;0.4504792332268371;0.15175718849840256;0.2476038338658147
48;2020-04-13;0.04549069508509623;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;0.8224551171524365;0.4405594405594406;0.14685314685314685;0.270979020979021
